nucleus_id,cz,cy,cx,vol_env,r_eq,gap,gap_int,thick,void_big,void_off,offset,syp_io,s_um,s_norm,score,merged,is_solid,is_clumped,mitotic,crescent,post,cls,row,zone,r_um,off_axis_cut_um
61,1.8107716049383284,224.47814812500053,39.5100962500004,30.40128288,1.936129640615314,0.6290895061728394,0.1808111792774369,0.4150197628458498,0.97844652297682,0.0893742794386767,0.0979537483158706,1.5241967771346898,-63.394405903393356,0.0,0.4356688414970623,False,False,False,False,False,False,pachytene,0,off_axis,125.10347012583696,11.93
195,4.217686343747486,224.959102287558,42.550202901665216,30.558450006,1.939460344947644,0.591924464573578,0.1663791751607338,0.4224981188863807,0.9779378658262045,0.1279827992815659,0.0867371264182708,1.4329250242115168,-63.81288170238555,0.0109162304026908,0.3937986176110691,False,False,False,False,False,False,pachytene,0,off_axis,122.70149494292085,11.93
221,5.179833322730555,222.03440842928936,41.20521841083931,36.873284382,2.064782946044632,0.5899866403715249,0.1624431448992852,0.430566330488751,0.9742432788118068,0.0712976505994757,0.0470937303273832,1.3461358070602718,-60.91640002685553,0.012555384498282,0.3772778626579796,False,False,False,False,False,False,pachytene,1,off_axis,122.43687532961893,11.93
59,1.863053476418068,219.3137700514012,39.61542509694322,26.012332242,1.8380764087596644,0.6264766886103346,0.1913315111284654,0.3821825205214872,0.9893401015228428,0.0408961167521434,0.0441172231241383,1.521446510030671,-58.22895387842696,0.0144320893747487,0.5006286286128263,False,False,False,False,False,False,pachytene,1,off_axis,122.56745160425935,11.93
243,5.5483296805473135,221.5602148037433,37.40097379956275,35.320379346,2.0353803776921766,0.4953842066812778,0.127969700447607,0.5473808897078178,0.9672413793103448,0.0640194155436102,0.0451057526908792,1.6925928603346891,-60.52036197607506,0.014498848739638,0.233785473431334,False,False,True,False,True,False,TZ,1,off_axis,125.56754546738499,11.93
167,3.9390459943573832,224.1738870612191,46.36862972245889,35.752002498,2.04363777137452,0.6540253264221507,0.1680340801514673,0.4198748340603072,0.9913029973598384,0.096643786075104,0.1069776177235471,1.5513087549873197,-62.949485037613755,0.0200808730129253,0.4002004085992264,False,False,False,False,False,False,pachytene,1,off_axis,119.01195707426523,11.93
337,6.668316593009289,218.7040832061089,40.93026412213658,29.19320721,1.910136485798367,0.5713137806347931,0.198948948948949,0.4586691658856607,0.9634146341463414,0.1472376891163456,0.1215743134588121,1.281243016877845,-57.59241742683586,0.0214510988119557,0.4337526124408021,False,False,False,False,False,False,pachytene,1,off_axis,121.119328173188,11.93
154,3.430275229357835,217.53336910415612,42.52617989746311,26.080359804,1.8396773290744164,0.4965821190861665,0.1676085663295657,0.4552438806503484,0.919442292796282,0.1500683924766072,0.0801107158148112,1.3679307998260546,-56.38920467296043,0.021631739384968,0.3681731341234614,False,False,False,False,False,False,pachytene,1,off_axis,119.16508118471246,11.93
60,1.429664911840926,220.40629205314312,46.291177513161166,28.071925326,1.8853610480057656,0.6475307094509902,0.1281521289789169,0.4549549549549549,0.98058629392351,0.1730003894052358,0.1742419406736457,1.4142753528012602,-59.18427234468989,0.022123875362175,0.2816809171615798,False,False,True,False,True,False,TZ,1,off_axis,117.1975598323628,11.93
57,0.853606579479588,217.40539455305455,43.38358992854325,17.398635426,1.6074674697063662,0.4934609680463799,0.0741744701823557,0.4631354804365185,0.7637330183106911,0.2915262507310009,0.091520706742762,1.448603925737689,-56.24366466567524,0.0226874740409405,0.1601571749856958,False,False,True,False,True,False,TZ,1,off_axis,118.343667228041,11.93
