nucleus_id,cz,cy,cx,vol_env,r_eq,gap,gap_int,thick,void_big,void_off,offset,syp_io,s_um,s_norm,score,merged,is_solid,is_clumped,mitotic,crescent,post,cls,row,zone,r_um,off_axis_cut_um
482,4.774522188499759,283.5565038717064,144.43484445082348,28.597379598,1.897051889996196,0.462390287917316,0.1326098464796188,0.6037534330180043,0.9734810339039948,0.1523392981297859,0.0536982028598992,1.0666935816946737,-99.62487957176326,0.0,0.2196423891401116,False,False,False,False,False,False,pachytene,0,off_axis,102.0366393834895,18.68
810,7.119137307038812,283.17678307112715,142.0914397961475,31.759488342,1.964543407914612,0.4596351281483123,0.1409112259276655,0.5922635319846911,0.937780628608082,0.4430081357765851,0.1018901796103885,1.0067906399399331,-98.10394312107344,0.011873212439893,0.2379198081898918,False,False,False,False,False,False,pachytene,0,off_axis,100.96763013180835,18.68
161,2.0820974939924386,282.086329454176,142.5912264160683,27.333005256,1.8686713415596403,0.3956402334363199,0.0057885076944796,0.636040897472309,0.9551656920077972,0.124441879907588,0.0500630984298117,0.953117211614206,-97.42040714861012,0.0127358806656639,0.0091008419702,False,True,False,True,False,False,mitotic,0,off_axis,100.07354833550185,18.68
809,7.265088105727127,281.6993526431743,146.69871123348,25.559597088,1.827350254558653,0.3985866372980911,0.087325905292479,0.6328399206470319,0.9545251894783772,0.4896164922687303,0.1517296459723547,1.0075530316364023,-99.18066577920537,0.0136790679104315,0.1379905129929142,False,False,False,False,False,False,pachytene,0,off_axis,101.01426970500948,18.68
381,4.337079602340753,280.8020619262508,147.8153888528554,33.270169374,1.995210863745956,0.5358527814989776,0.1010514816332104,0.6378550812699377,0.999206978588422,0.1898279708099872,0.1228392334204011,1.1161460791684144,-98.97770208500918,0.0155950180253696,0.1584238874949807,False,False,False,False,False,False,pachytene,0,off_axis,100.5551413509363,18.68
926,7.215732522796435,279.0006165957457,145.1564453252264,19.29402405,1.6638393916772185,0.6548328267477204,0.099873176918199,0.5924621345544205,0.9980044898977302,0.0695379947632501,0.0791851159568764,0.897302363922018,-96.07270427819411,0.0185710857404092,0.1685730970694216,False,False,False,False,False,False,pachytene,1,off_axis,97.95505685702213,18.68
455,5.711818408580888,282.00681924170624,138.42742834123234,47.02112001,2.239072314554604,0.491993015714642,0.1048699015471167,0.6278110576450948,0.9906697767410862,0.152736923309848,0.0731232091009846,1.0676320617592083,-95.23008272579396,0.0223275340352328,0.1670405455113858,False,False,False,False,False,False,pachytene,1,off_axis,98.83042354595979,18.68
159,1.6727651160369883,278.4837628473402,141.32558289103918,45.081161604,2.207846264451843,0.378395254448954,0.0894123027669792,0.6533567721413025,0.968833481745325,0.1879839957491908,0.065374363282953,0.9428361295871974,-93.67575443502336,0.0238765252279966,0.1368506558429639,False,False,False,False,False,False,pachytene,1,off_axis,96.25740771901627,18.68
660,6.547409109903793,277.80070110739973,148.07784778520974,22.453787016,1.750116649867122,0.4758671124111993,0.0674721189591077,0.6169025313932629,0.9784860557768924,0.2047131302306034,0.0771931659455188,1.1723691011244095,-96.52906651376358,0.0250471313991023,0.1093724138345213,False,False,False,False,False,False,pachytene,1,off_axis,97.84379866976221,18.68
925,7.182805842970066,278.1900138998748,140.4209692331103,30.832906032,1.9452493700547064,0.7540322580645161,0.138785295684603,0.5654191153727188,1.0,0.1083367242491805,0.1793094620021817,0.8907469223181385,-92.96201100851273,0.0253402487245505,0.2454556132102416,False,False,False,False,False,False,pachytene,1,off_axis,95.71056837000963,18.68
158,2.660844708902024,276.9010760938024,146.34751729086454,40.211326476,2.125298472707288,0.4410803873527009,0.0933093593262042,0.6661100093935914,0.9838709677419356,0.0370046783611881,0.0101954359920523,1.0458763961691588,-94.87323039280002,0.0257640612627681,0.1400810046543971,False,False,False,False,False,False,pachytene,1,off_axis,96.38714159893227,18.68
808,7.047319746531778,275.0208760661095,146.16092139921213,27.393995484,1.8700602122007264,0.4500770679910943,0.1134732192159028,0.5979445655559016,0.9765512265512264,0.3256737814611399,0.1069299166919527,1.01017032910465,-93.16040484859049,0.0331892740837403,0.1897721390115958,False,False,False,False,False,False,pachytene,2,off_axis,94.5616386054644,18.68
160,2.504517680056006,278.3256408694783,137.11586039267033,23.417901774,1.7748151350163812,0.5273965741760993,0.0584713630013968,0.6053412462908012,0.9903381642512076,0.0859950283195595,0.0406297951267513,1.011444602589367,-91.39438847039067,0.0364206454810678,0.0965923986836801,False,False,False,False,False,False,pachytene,2,off_axis,94.93503533932034,18.68
874,7.199515783592656,276.99233172548486,136.5526351801864,25.191309942,1.8185310219577984,0.5990315671850266,0.1518613354343115,0.5578262888992104,0.996309963099631,0.1231631622339819,0.1241068834603282,0.9322362559470736,-89.96017674532217,0.0397503872010004,0.2722376812573462,False,False,False,False,False,False,pachytene,2,off_axis,93.50180616453773,18.68
503,5.171032745591986,277.8029579345106,135.43887972292072,16.762929588,1.5876463544252224,0.5601735236495942,0.1305670816044259,0.5494750238625516,0.9977142857142856,0.1093794989619472,0.1066135778209418,1.0060267585421334,-90.09006298555477,0.04078234033004,0.2376215040432605,False,False,False,False,False,False,pachytene,2,off_axis,94.00940619227585,18.68
454,4.538128668431401,272.287943509033,146.17869465416192,40.76493008399999,2.135007299343853,0.4589711129013695,0.1384587189590397,0.6310359497979153,0.988946819603754,0.1768555909506022,0.0856632290815068,1.1731307785074268,-90.8180321401666,0.0434971202272487,0.2194149461744297,False,False,False,False,False,False,pachytene,2,off_axis,92.0177575357732,18.68
156,1.812178394779428,272.86195128225893,143.2034303212931,56.437072902,2.379534233702211,0.4213392077808719,0.1001809720785935,0.6515586840971125,0.985027303153074,0.3229641196525891,0.098753203886498,1.022884698093051,-89.79568692650325,0.0442270050894791,0.1537558696150567,False,False,False,False,False,False,pachytene,2,off_axis,91.5163783812895,18.68
157,2.022478191720062,273.21382108534897,138.0777711070417,48.672547722,2.2649840954038645,0.3975613282567835,0.0684849839779416,0.66552,0.981950363499624,0.082899393967536,0.0292874732224114,0.9931413930659108,-87.48635011519862,0.0459398484761401,0.1029044716581645,False,False,False,False,False,False,pachytene,2,off_axis,90.27200120690296,18.68
699,6.9847931803881,271.0600048000415,144.41943480748466,41.001853662,2.139135494503817,0.4628411236340751,0.114579403998491,0.6682287783576526,0.9834402815152142,0.2640802212832082,0.1007552100160203,1.028172490365239,-88.86497042872325,0.0469608430071061,0.1714673293181117,False,False,False,False,False,False,pachytene,2,off_axis,90.24092689853202,18.68
749,6.630529958397088,272.0325669310593,140.6722296978879,60.331064382,2.433048648529826,0.6854465570201018,0.1744055515868966,0.5935723114956737,0.9991316303639916,0.0980292364999746,0.1234077121706797,0.967162499826762,-87.79215477892663,0.0473574452817571,0.2938235969050383,False,False,False,False,False,False,pachytene,2,off_axis,89.9140111120902,18.68
380,5.760955514807408,271.5713781467403,134.55010443596282,93.38776795799998,2.814494874372489,0.5062671121046947,0.1821926357395464,0.6136548636548637,0.9945687952600396,0.249351227339675,0.1419004379169552,1.031878853854663,-84.27544878094179,0.0609423471885595,0.2968975665807101,False,False,False,False,False,False,pachytene,3,off_axis,87.75071384639064,18.68
502,5.228189945431119,267.2389260710555,143.69680444096315,40.40837182799999,2.1287643121162896,0.483397190293742,0.123164843826978,0.6596246769299922,0.9932297889287136,0.0758556596638505,0.0415232733708979,1.0615306318131743,-85.20903365873211,0.0621453269612542,0.1867195818085651,False,False,False,False,False,False,pachytene,3,off_axis,86.41273922274068,18.68
155,1.836699457940225,267.6541477815708,136.44984651676629,35.052960654,2.0302305817766038,0.4849762430569497,0.0763322131541046,0.6654106029106029,0.9956301747930084,0.0913620784515265,0.0484083327179687,0.9830460433814592,-81.87317000558825,0.0665650360757943,0.1147144527307145,False,False,False,False,False,False,pachytene,4,off_axis,84.47889478294974,18.68
154,1.814953149401402,266.6651492256596,140.40908251561572,36.04991630399999,2.04929847634014,0.4420874544508069,0.0978535353535353,0.629577793328668,0.968676122931442,0.0800970238235601,0.0222445935793632,0.985218909970301,-83.03989674029792,0.0684164065423132,0.1554272345537629,False,False,False,False,False,False,pachytene,4,off_axis,84.74402671744019,18.68
807,6.992183318465846,266.176631567802,139.82092754237206,42.07387420799999,2.157618372830559,0.4697814451382693,0.1184649610678532,0.6535226077812829,0.9924827730215076,0.1048055960996447,0.0214466267180204,0.909491313526696,-82.31984377912981,0.0684539344505766,0.1812714046267552,False,False,False,False,False,False,pachytene,4,off_axis,84.09068387010171,18.68
359,4.045119716228265,263.3469667041124,142.05377104345328,39.67883487,2.1158754548763365,0.4072125332545078,0.1131257739253494,0.6734815996808616,0.9725658956428188,0.2732185949163679,0.076593670738046,1.1238719332139588,-81.02306415278247,0.0777566468105714,0.1679715882051649,False,False,False,False,False,False,pachytene,4,off_axis,82.19043025364223,18.68
