nucleus_id,cz,cy,cx,vol_env,r_eq,gap,gap_int,thick,void_big,void_off,offset,syp_io,s_um,s_norm,score,merged,mitotic,crescent,post,cls,row,zone,r_um,off_axis_cut_um
648,10.823322227510538,5.44556730128542,76.55175963826761,14.785438733999998,1.5225861287495983,0.6834840552118039,0.0306122448979592,0.4290726817042606,0.9540229885057472,0.3689813783833953,0.3479353684219086,1.0664098808821314,157.52660669077883,0.0,0.0713451268357811,False,True,False,False,mitotic,0,off_axis,85.55991193985281,17.81
533,9.62759448110386,4.067930773845164,78.93047360527744,11.731235778,1.4095648178257132,0.7462507498500299,0.0,0.4294720252167061,0.9971998599929996,0.1306736935016377,0.1606173682505857,1.1850799297630892,159.62963214478475,0.0121812770539274,0.0,False,True,False,False,mitotic,0,off_axis,85.46963858470141,17.81
439,6.913221757322177,5.760109958159156,78.54276244769723,11.21281884,1.3884877912072229,0.6121338912133891,0.2223154362416107,0.4271844660194174,0.8433806146572104,0.5631701826350529,0.2287046107878618,1.1341896861194831,157.90628743959638,0.0178761233240698,0.5204202257474071,False,False,False,False,pachytene,1,off_axis,84.2282722010879,17.81
564,9.60749269005849,6.070895833333342,80.81709375000156,12.836097216,1.4524955018008368,0.8342470760233918,0.0,0.3164277839029768,0.9974548231102062,0.1531409796818086,0.4391436210597053,1.1076349751158188,158.3856377360567,0.0182012952749537,0.0,False,True,False,False,mitotic,1,off_axis,82.78274494169668,17.81
552,10.21435810810802,7.434808720438932,81.48584841638662,11.109604607999998,1.3842142986758903,0.7730152027027027,0.0,0.3553488372093023,0.989861439675566,0.2490820956683169,0.4357259861710418,1.20371207012521,157.32955238321972,0.0217595083332047,0.0,False,True,False,False,mitotic,1,off_axis,81.26850394978908,17.81
481,8.139349211673938,8.360498423347902,80.94736544783805,6.992764218,1.1862787709313605,0.5602146930560215,0.048621190130624,0.3585049580472921,0.940774487471526,0.2320793008489893,0.1160139553920017,1.1339170248263477,156.2760673267209,0.0240481198514017,0.13562208566223,False,False,True,False,TZ,1,off_axis,80.75319777206907,17.81
363,6.769709458067175,8.709658726560566,85.65570407994976,11.384060634,1.3955204240998746,0.6536163198021843,0.093311758360302,0.4045211183819155,0.9754204398447608,0.4217928820440365,0.409062402841056,1.3178933701341753,157.5451980042938,0.0426132131712054,0.230672155593629,False,False,True,False,TZ,2,off_axis,78.09757585079815,17.81
534,8.611514195583647,12.32480477129326,84.60057776025134,5.948893008,1.124041941140352,0.7405362776025237,0.1607142857142857,0.3267477203647416,0.9947994056463596,0.0645061231114988,0.0685829178963536,1.0948271154288964,153.78650650557518,0.0439544982883945,0.491860465116279,False,False,False,False,pachytene,2,off_axis,75.47378103258812,17.81
507,8.507495548000367,10.359367508499776,85.9273274405049,14.489870705999998,1.512372018795081,0.7330419297393557,0.1667508842849924,0.3966040024257125,0.9985742800114058,0.2525914997955071,0.3706651423749222,1.2584867140310545,156.08552166194352,0.044031498301249,0.4204468015075726,False,False,False,False,pachytene,2,off_axis,76.52079017538722,17.81
222,4.40652532690109,9.318460873428792,85.40217375904507,18.477693306,1.6400347429531092,0.7510473530531928,0.0988051470588234,0.409484956654768,0.994140625,0.1393108176330867,0.2425241770812838,1.2000972020595888,156.88648797486374,0.0471280686350185,0.2412912744487582,False,False,True,False,TZ,2,off_axis,77.68581723881503,17.81
293,6.227084998667739,13.60081207034485,85.31361356914337,35.214819336,2.033350679120457,0.8311350919264588,0.2092950717404865,0.4059171597633136,0.999426221669695,0.1297881527569196,0.3931976572978644,1.266057420519063,152.82813671742264,0.0521034997942267,0.5156103079321025,False,False,False,False,pachytene,3,off_axis,74.01250073543913,17.81
339,6.225964035003424,11.238351091450818,87.07288756611347,24.393745422,1.7991330955844396,0.8091162611789595,0.0283896231032795,0.4146095717884131,0.9983221476510068,0.1514523118589894,0.3382929644151309,1.3073663111451377,155.6473812626005,0.0526280270688623,0.0684731492831225,False,True,False,False,mitotic,3,off_axis,75.19906159224024,17.81
311,6.718620037807165,12.703702599243734,86.9880852079409,4.963666247999999,1.058208683564455,0.7755198487712666,0.0830115830115829,0.2147368421052631,0.999259807549963,0.2560988075564996,0.5746928118425855,1.3749560189177084,154.240187145372,0.0548276566161913,0.3865735483382539,False,False,False,False,pachytene,3,off_axis,73.95633606985595,17.81
622,12.029792565780385,13.576746122790013,93.64014833635238,16.849723374,1.5903817691524096,0.8091326743700404,0.1398996235884567,0.4288840262582057,0.9981296758104738,0.2542005193971098,0.6354073263365654,1.296725368708336,155.6760351589091,0.080884086088192,0.32619453050982,False,False,True,False,TZ,4,off_axis,70.16162750685555,17.81
623,12.324342342652248,20.089561609306905,88.50943526521475,136.521933822,3.194267435635247,0.7722469458238114,0.2445141065830721,0.3753300641267446,0.998093170617226,0.0154384872587704,0.0215104343744808,1.7636060767389148,147.80869818148736,0.0823669936018499,0.6514642176399239,False,False,False,False,pachytene,4,off_axis,66.8029439215047,17.81
584,9.90844091360476,14.167475471697696,95.0833849056607,7.086595338,1.191561168426381,0.6196623634558094,0.1373873873873874,0.3385552654482158,0.976027397260274,0.3095084388729371,0.2363414078590291,1.276369584254514,155.6100524136779,0.0847279836784064,0.4058049051622318,False,False,False,False,pachytene,5,off_axis,69.02936369141892,17.81
830,13.229167296357469,11.018317938643255,94.95869043373165,15.522013025999998,1.547461352493657,0.6277769381895119,0.1415127222028581,0.4575720665854649,0.964833520389076,0.1561273103933776,0.0806753428357585,1.167182912710604,158.5300773397843,0.085530806656755,0.3092687087716412,False,False,True,False,TZ,5,off_axis,71.96927413191044,17.81
831,13.242458342350288,14.129974356199016,95.67169502272202,10.839840138,1.3729184964833887,0.7775373295823415,0.0,0.3054474708171206,0.9900673997871584,0.1384768907566309,0.2416066819096138,1.2381881652854922,155.84494714062646,0.090646198108973,0.0,False,True,False,False,mitotic,5,off_axis,68.82796228837223,17.81
583,10.929990139456033,14.481673404704503,96.2420101140996,16.652678022,1.5841579892679216,0.7358782927172841,0.2180984153461217,0.2282666666666666,0.9725152692948362,0.123762754709212,0.1613711559007004,1.276590530008396,155.7076250227197,0.0911334087971606,0.9554545064812576,False,False,False,False,pachytene,5,off_axis,68.2798079886518,17.81
636,11.257128918160562,12.159954116355683,97.93340881814596,19.233033822,1.662084356735091,0.7619221856323942,0.1163422363060208,0.3903688524590163,0.990625,0.2522028281962819,0.4334887580550938,1.4161345124202054,158.4655142325364,0.0946145674941815,0.2980315554715914,False,False,True,False,TZ,5,off_axis,69.79655844811755,17.81
596,11.014157215486868,13.91949362534222,97.59685119280245,5.998154346,1.1271360556820973,0.7555729370355886,0.1246498599439775,0.1968,0.8297872340425532,0.4124050659936321,0.4866228980944868,1.3672143321253207,156.69616213733627,0.0959317577166922,0.6333834346746828,False,False,False,False,pachytene,5,off_axis,68.28183182683853,17.81
312,6.495560614684119,25.190506033010504,96.26680364257206,8.243063891999999,1.253141229545426,0.8577120091064314,0.0439770554493308,0.244,0.9896828429499428,0.1497776182899826,0.4711545358436156,1.459896891210658,145.6425031308386,0.1269132668998623,0.1802338338087329,False,False,True,False,TZ,7,off_axis,58.56674097967645,17.81
204,5.472588010015776,23.529541135169232,97.6174841066488,143.32938157799998,3.246500986993491,0.7873684555080931,0.2234309623430962,0.4170258620689655,0.9974582145883076,0.0307666150736503,0.0658210499202808,1.738129773992652,147.66322855593108,0.1280671762504249,0.5357724368330576,False,False,False,False,pachytene,7,off_axis,59.46035956509751,17.81
