kind,id,vol_um3,z_um,y_um,x_um,cov_germ_label,cov_any_label,cov_lamin_mask,ring_shell,ring_inside,ring_ratio,shell_over_thr
lamin_candidate,128,17.4,4.1,123.1,79.5,1.0,1.0,1.0,,,,
lamin_candidate,129,15.8,4.3,123.5,52.5,1.0,1.0,1.0,,,,
lamin_candidate,131,5.9,3.6,64.3,125.4,1.0,1.0,1.0,,,,
lamin_candidate,133,15.6,4.0,99.6,97.7,1.0,1.0,1.0,,,,
lamin_candidate,135,5.6,4.3,47.6,26.0,1.0,1.0,1.0,,,,
lamin_candidate,136,5.4,3.5,71.6,20.9,0.52,0.52,0.589,,,,
lamin_candidate,138,17.3,4.3,112.8,99.8,1.0,1.0,1.0,,,,
lamin_candidate,139,8.5,4.3,58.5,120.9,1.0,1.0,1.0,,,,
lamin_candidate,142,5.7,3.6,100.8,52.4,0.942,0.942,1.0,,,,
lamin_candidate,144,16.3,4.5,104.7,90.4,0.999,0.999,1.0,,,,
lamin_candidate,145,10.2,4.5,46.7,115.8,1.0,1.0,1.0,,,,
lamin_candidate,146,11.5,4.8,61.4,112.2,1.0,1.0,1.0,,,,
lamin_candidate,148,11.9,4.7,69.6,114.9,1.0,1.0,1.0,,,,
lamin_candidate,151,8.4,4.6,83.8,127.2,1.0,1.0,1.0,,,,
lamin_candidate,153,13.0,4.8,100.7,67.0,1.0,1.0,1.0,,,,
lamin_candidate,155,5.7,4.7,50.9,23.8,1.0,1.0,1.0,,,,
lamin_candidate,156,5.4,4.2,60.0,19.0,1.0,1.0,1.0,,,,
lamin_candidate,157,5.6,4.6,63.3,27.7,1.0,1.0,1.0,,,,
lamin_candidate,158,12.2,4.9,77.7,117.2,1.0,1.0,1.0,,,,
lamin_candidate,159,18.6,5.1,125.9,65.9,1.0,1.0,1.0,,,,
lamin_candidate,161,13.0,5.1,38.3,108.9,1.0,1.0,1.0,,,,
lamin_candidate,162,13.5,5.3,46.9,106.4,1.0,1.0,1.0,,,,
lamin_candidate,166,15.9,5.4,93.5,105.1,1.0,1.0,1.0,,,,
lamin_candidate,167,10.6,4.5,115.5,51.4,1.0,1.0,1.0,,,,
lamin_candidate,168,33.9,6.0,23.8,97.3,0.884,0.884,1.0,,,,
lamin_candidate,169,9.2,5.8,57.8,35.2,1.0,1.0,1.0,,,,
