kind,id,vol_um3,z_um,y_um,x_um,cov_germ_label,cov_any_label,cov_lamin_mask,ring_shell,ring_inside,ring_ratio,shell_over_thr
lamin_candidate,10,26.8,2.5,112.1,102.7,0.0,0.0,0.0,,,,
lamin_candidate,19,5.1,2.5,97.5,90.4,0.0,0.0,0.0,,,,
lamin_candidate,23,111.0,5.2,13.4,12.4,0.006,0.006,0.006,,,,
lamin_candidate,24,8.3,2.8,90.6,83.8,0.007,0.007,0.058,,,,
lamin_candidate,27,36.1,3.1,169.9,125.2,0.0,1.0,0.0,,,,
lamin_candidate,34,13.4,2.6,101.8,92.1,0.024,0.024,0.024,,,,
lamin_candidate,39,10.6,2.9,109.8,96.6,0.012,0.012,0.012,,,,
lamin_candidate,48,5.3,3.0,76.3,74.1,0.016,0.016,0.016,,,,
lamin_candidate,51,28.6,3.1,85.5,80.0,0.025,0.025,0.025,,,,
lamin_candidate,54,6.1,2.6,129.0,92.2,0.0,0.0,0.0,,,,
lamin_candidate,70,15.7,3.4,48.3,48.3,0.013,0.013,0.013,,,,
lamin_candidate,71,8.5,3.3,60.9,64.0,0.036,0.036,0.036,,,,
lamin_candidate,73,7.6,3.1,79.5,78.1,0.0,0.0,0.0,,,,
lamin_candidate,75,8.7,3.2,81.2,74.1,0.057,0.057,0.057,,,,
lamin_candidate,92,11.3,4.0,43.9,44.2,0.016,0.016,0.016,,,,
lamin_candidate,93,82.4,4.1,58.1,56.8,0.013,0.013,0.013,,,,
lamin_candidate,108,46.4,3.3,68.2,65.0,0.005,0.005,0.005,,,,
lamin_candidate,113,11.2,3.0,104.5,97.6,0.013,0.013,0.013,,,,
lamin_candidate,124,6.7,3.0,127.3,96.3,0.0,0.0,0.0,,,,
lamin_candidate,140,13.1,4.6,41.8,40.2,0.008,0.008,0.008,,,,
lamin_candidate,143,5.0,4.9,32.4,34.2,0.036,0.036,0.036,,,,
lamin_candidate,150,6.5,4.3,56.1,49.9,0.003,0.003,0.003,,,,
lamin_candidate,171,18.2,5.3,170.5,133.2,0.0,1.0,0.0,,,,
lamin_candidate,180,7.2,5.3,204.5,107.8,1.0,1.0,1.0,,,,
lamin_candidate,220,5.8,5.9,197.6,100.2,1.0,1.0,1.0,,,,
lamin_candidate,222,5.3,5.7,231.2,158.4,0.997,0.997,1.0,,,,
lamin_candidate,239,6.6,6.6,191.1,96.6,1.0,1.0,1.0,,,,
lamin_candidate,242,6.0,6.4,36.5,32.7,0.02,0.02,0.02,,,,
lamin_candidate,257,7.5,7.3,91.7,84.0,1.0,1.0,1.0,,,,
lamin_candidate,296,6.5,6.8,94.1,85.4,0.015,0.015,0.016,,,,
germ_label,1,29.9,2.4,11.9,9.3,,,,225.6,317.2,0.711,1.194
germ_label,2,50.3,2.5,22.7,29.7,,,,249.3,361.0,0.69,1.319
germ_label,3,23.0,2.2,33.9,34.0,,,,204.3,281.9,0.725,1.081
germ_label,4,36.3,2.0,40.6,37.9,,,,219.7,336.6,0.653,1.162
germ_label,5,15.3,2.0,41.4,45.6,,,,263.3,381.2,0.691,1.393
germ_label,6,15.9,1.8,44.0,41.8,,,,214.6,345.3,0.621,1.136
germ_label,7,20.5,1.7,46.6,40.5,,,,251.4,347.2,0.724,1.33
germ_label,8,24.8,1.7,47.5,50.7,,,,208.6,345.9,0.603,1.104
germ_label,9,23.1,1.6,51.2,47.4,,,,212.4,348.6,0.609,1.124
germ_label,10,50.3,2.3,58.1,56.4,,,,191.4,276.5,0.693,1.013
germ_label,11,44.4,2.5,62.2,55.4,,,,208.9,304.2,0.687,1.106
germ_label,12,30.9,2.7,70.4,73.2,,,,270.1,293.5,0.921,1.43
germ_label,13,33.2,2.5,72.4,68.8,,,,242.0,274.1,0.883,1.281
germ_label,14,35.0,2.5,73.6,63.8,,,,245.3,337.9,0.726,1.298
germ_label,15,32.1,2.5,73.8,75.7,,,,256.4,279.8,0.916,1.357
germ_label,16,34.8,2.2,75.3,71.6,,,,221.3,270.3,0.819,1.171
germ_label,17,30.3,2.2,76.9,67.5,,,,282.8,315.5,0.896,1.496
germ_label,18,36.9,2.7,77.0,79.2,,,,234.2,309.0,0.758,1.239
germ_label,19,31.3,2.5,80.0,70.3,,,,245.7,299.8,0.819,1.3
germ_label,20,28.6,2.7,80.1,82.0,,,,276.4,305.1,0.906,1.463
germ_label,21,33.8,2.3,82.4,77.6,,,,210.4,247.7,0.849,1.113
germ_label,22,32.6,2.5,83.1,73.5,,,,231.8,273.0,0.849,1.227
germ_label,23,35.2,2.6,83.6,84.9,,,,228.7,302.1,0.757,1.21
germ_label,24,31.3,2.4,84.9,80.8,,,,210.2,242.9,0.866,1.112
germ_label,25,31.8,2.5,86.3,76.4,,,,234.2,266.4,0.879,1.24
germ_label,26,32.3,2.4,88.7,84.5,,,,220.4,246.9,0.893,1.166
germ_label,27,32.2,2.4,89.4,80.7,,,,226.2,242.3,0.934,1.197
germ_label,28,43.4,2.3,93.1,83.8,,,,238.4,282.7,0.843,1.262
germ_label,29,34.4,2.8,93.0,79.1,,,,229.0,251.1,0.912,1.212
germ_label,30,28.5,2.4,93.0,92.3,,,,238.8,283.2,0.843,1.264
germ_label,31,39.6,2.0,95.0,89.2,,,,247.1,287.7,0.859,1.308
germ_label,32,29.8,2.0,97.1,93.4,,,,265.2,285.4,0.929,1.403
germ_label,33,37.6,2.1,98.1,85.3,,,,204.1,265.0,0.77,1.08
germ_label,34,30.8,2.2,98.2,97.6,,,,254.0,270.6,0.939,1.344
germ_label,35,36.1,2.0,99.9,89.6,,,,212.7,259.1,0.821,1.125
germ_label,36,33.1,1.9,101.3,94.2,,,,234.0,267.7,0.874,1.238
germ_label,37,35.4,2.0,102.2,98.5,,,,230.8,292.7,0.788,1.221
germ_label,38,42.9,2.2,104.1,102.6,,,,220.3,328.2,0.671,1.166
germ_label,39,39.1,2.3,104.2,90.5,,,,193.0,243.9,0.791,1.021
germ_label,40,42.1,2.0,106.5,93.9,,,,230.9,297.0,0.778,1.222
germ_label,41,35.4,1.7,107.0,99.1,,,,227.1,296.2,0.767,1.202
germ_label,42,32.7,2.1,107.5,103.7,,,,277.3,335.8,0.826,1.467
germ_label,43,37.1,2.3,111.3,94.6,,,,227.8,278.6,0.818,1.205
germ_label,44,44.8,1.9,111.7,99.8,,,,203.9,296.3,0.688,1.079
germ_label,45,42.8,1.9,111.6,105.1,,,,249.5,328.3,0.76,1.32
germ_label,46,41.9,2.3,114.8,108.4,,,,237.8,339.2,0.701,1.258
germ_label,47,34.1,2.8,115.0,96.4,,,,227.8,267.6,0.851,1.206
germ_label,48,37.3,2.5,115.8,100.9,,,,206.0,282.5,0.729,1.09
germ_label,49,33.2,1.5,117.1,105.0,,,,257.7,326.2,0.79,1.363
germ_label,50,34.2,1.9,121.0,104.9,,,,259.4,308.6,0.841,1.373
germ_label,51,37.4,1.8,124.1,102.5,,,,219.5,281.6,0.78,1.162
germ_label,52,38.9,2.0,125.6,98.1,,,,230.7,284.7,0.81,1.221
germ_label,53,29.7,2.1,125.7,93.1,,,,188.1,280.8,0.67,0.995
germ_label,54,39.1,2.0,128.3,89.6,,,,230.1,295.2,0.78,1.218
germ_label,55,38.3,1.9,129.5,94.7,,,,216.4,291.0,0.744,1.145
germ_label,56,43.9,2.1,131.5,86.8,,,,225.8,306.8,0.736,1.195
germ_label,57,38.0,2.9,129.8,100.6,,,,220.2,308.1,0.715,1.165
germ_label,58,42.5,2.0,132.7,92.0,,,,196.7,254.5,0.773,1.041
germ_label,59,45.1,2.2,135.6,84.9,,,,203.1,284.0,0.715,1.075
germ_label,60,41.3,1.9,136.4,90.9,,,,231.5,303.0,0.764,1.225
germ_label,61,45.6,1.9,140.5,89.6,,,,218.2,297.8,0.732,1.154
germ_label,62,45.3,2.0,140.7,83.2,,,,206.5,284.8,0.725,1.093
germ_label,63,46.3,2.0,143.8,79.3,,,,221.6,300.7,0.737,1.173
germ_label,64,45.7,2.0,144.3,86.5,,,,202.6,282.3,0.718,1.072
germ_label,67,47.1,2.5,147.9,75.7,,,,208.8,286.5,0.729,1.105
germ_label,68,44.4,2.0,148.9,82.8,,,,223.3,295.2,0.757,1.182
germ_label,72,47.3,1.8,152.6,78.8,,,,204.3,289.7,0.705,1.081
germ_label,73,42.2,2.7,152.3,88.5,,,,205.5,284.9,0.721,1.087
germ_label,75,46.8,2.1,155.0,85.0,,,,206.7,278.9,0.741,1.094
germ_label,77,44.3,2.2,156.1,74.7,,,,206.8,275.0,0.752,1.095
germ_label,84,46.7,2.8,158.3,88.3,,,,216.3,293.6,0.737,1.144
germ_label,85,48.7,1.8,159.4,81.5,,,,202.1,287.2,0.704,1.07
germ_label,92,52.2,2.1,163.7,77.3,,,,212.5,290.6,0.731,1.125
germ_label,96,56.7,1.9,165.6,85.6,,,,215.8,297.8,0.724,1.142
germ_label,99,48.8,1.7,170.0,79.3,,,,220.7,317.5,0.695,1.168
germ_label,100,49.1,1.9,171.1,86.0,,,,197.6,287.5,0.687,1.046
germ_label,103,45.7,2.2,173.1,90.6,,,,210.8,289.4,0.728,1.116
germ_label,105,47.7,2.3,174.9,77.4,,,,217.9,288.6,0.755,1.153
germ_label,107,44.4,1.8,176.8,81.9,,,,223.9,305.1,0.734,1.185
germ_label,111,47.1,2.0,177.8,92.7,,,,210.8,292.0,0.722,1.116
germ_label,112,47.6,2.0,178.1,86.4,,,,204.1,286.9,0.711,1.08
germ_label,121,45.1,1.5,184.4,91.8,,,,208.7,308.3,0.677,1.104
germ_label,123,48.6,1.5,184.6,83.5,,,,228.8,328.1,0.697,1.211
germ_label,127,46.5,1.7,187.4,97.6,,,,217.6,291.6,0.746,1.151
germ_label,133,44.8,1.4,189.8,91.8,,,,207.6,291.1,0.713,1.099
germ_label,134,42.4,1.5,190.8,86.0,,,,243.2,333.9,0.728,1.287
germ_label,136,57.6,1.8,192.5,100.1,,,,194.6,267.2,0.728,1.03
germ_label,141,49.9,1.6,195.1,94.0,,,,196.5,277.4,0.708,1.04
germ_label,142,52.2,1.9,195.4,110.2,,,,221.3,306.6,0.722,1.171
germ_label,144,51.1,1.9,195.2,104.5,,,,203.4,259.5,0.784,1.076
germ_label,148,43.9,1.5,196.8,88.0,,,,251.8,350.3,0.719,1.332
germ_label,152,41.2,1.4,200.1,98.6,,,,196.3,286.4,0.685,1.039
germ_label,153,55.1,2.1,199.9,113.2,,,,209.4,273.6,0.765,1.108
germ_label,154,47.0,1.6,200.8,92.9,,,,228.1,307.2,0.743,1.207
