kind,id,vol_um3,z_um,y_um,x_um,cov_germ_label,cov_any_label,cov_lamin_mask,ring_shell,ring_inside,ring_ratio,shell_over_thr
lamin_candidate,2,11.1,3.3,166.1,125.7,0.0,0.0,0.0,,,,
lamin_candidate,15,6.7,3.0,162.7,248.4,0.039,0.039,0.04,,,,
lamin_candidate,16,15.6,2.5,166.6,67.8,0.0,1.0,0.0,,,,
lamin_candidate,19,13.1,2.8,173.9,228.2,0.007,0.007,0.007,,,,
lamin_candidate,20,7.6,3.0,174.3,222.9,0.06,0.06,0.06,,,,
lamin_candidate,21,8.0,3.3,174.4,166.8,0.004,0.004,0.004,,,,
lamin_candidate,22,5.1,3.2,174.8,172.0,0.017,0.017,0.017,,,,
lamin_candidate,31,35.2,3.0,166.9,237.2,0.015,0.015,0.015,,,,
lamin_candidate,33,26.3,3.4,168.8,142.6,0.001,0.001,0.001,,,,
lamin_candidate,36,28.6,3.3,176.4,198.6,0.026,0.026,0.026,,,,
lamin_candidate,43,15.2,3.0,164.9,243.8,0.015,0.015,0.015,,,,
lamin_candidate,46,10.5,3.1,170.4,225.3,0.021,0.021,0.021,,,,
lamin_candidate,50,8.4,3.3,173.7,218.4,0.009,0.009,0.009,,,,
lamin_candidate,51,6.0,3.2,175.4,205.4,0.009,0.009,0.009,,,,
lamin_candidate,61,7.7,3.4,175.5,209.1,0.005,0.005,0.005,,,,
lamin_candidate,62,17.2,3.6,175.3,189.8,0.024,0.024,0.024,,,,
lamin_candidate,76,18.5,3.7,166.5,133.4,0.0,0.0,0.0,,,,
lamin_candidate,80,7.0,3.8,170.4,150.0,0.001,0.001,0.001,,,,
lamin_candidate,92,19.7,3.6,174.5,176.2,0.0,0.0,0.0,,,,
lamin_candidate,107,43.4,3.9,170.8,159.2,0.009,0.009,0.009,,,,
lamin_candidate,112,15.5,3.7,176.3,182.6,0.004,0.004,0.004,,,,
lamin_candidate,122,35.4,5.2,87.6,66.1,1.0,1.0,1.0,,,,
lamin_candidate,145,35.5,6.4,109.3,90.2,0.0,1.0,0.0,,,,
lamin_candidate,217,6.3,7.7,81.4,161.0,1.0,1.0,1.0,,,,
lamin_candidate,236,7.4,7.8,82.2,141.2,1.0,1.0,1.0,,,,
lamin_candidate,240,30.9,7.2,157.0,81.8,0.0,0.984,0.0,,,,
lamin_candidate,254,6.6,8.0,86.0,150.3,1.0,1.0,1.0,,,,
lamin_candidate,259,61.6,8.1,134.5,74.6,0.0,1.0,0.0,,,,
lamin_candidate,311,12.2,7.7,173.2,222.8,0.043,0.043,0.043,,,,
lamin_candidate,314,14.0,7.7,174.2,214.5,0.068,0.068,0.068,,,,
lamin_candidate,323,5.9,8.3,77.5,115.5,1.0,1.0,1.0,,,,
lamin_candidate,324,5.7,8.4,77.9,136.0,1.0,1.0,1.0,,,,
lamin_candidate,342,6.0,8.9,58.9,91.5,0.926,0.926,1.0,,,,
lamin_candidate,346,6.4,8.6,76.7,147.2,1.0,1.0,1.0,,,,
germ_label,1,4.5,2.1,50.5,13.7,,,,100.3,100.5,0.998,0.707
germ_label,2,20.1,1.6,52.9,51.7,,,,220.4,193.7,1.138,1.552
germ_label,3,21.3,1.7,57.6,90.0,,,,234.0,195.7,1.196,1.648
germ_label,4,15.1,1.8,60.2,76.6,,,,208.0,180.4,1.153,1.465
germ_label,5,36.7,1.8,61.5,100.1,,,,194.1,207.4,0.936,1.367
germ_label,6,41.8,1.6,62.9,107.6,,,,171.0,205.4,0.833,1.204
germ_label,7,51.1,1.6,64.0,116.3,,,,170.2,213.7,0.797,1.199
germ_label,8,58.7,1.7,64.5,124.2,,,,154.1,200.8,0.767,1.085
germ_label,9,15.3,1.9,63.7,65.6,,,,205.5,178.6,1.151,1.447
germ_label,10,58.8,2.1,66.3,130.9,,,,161.3,201.7,0.799,1.136
germ_label,11,65.3,2.1,67.3,138.5,,,,165.9,219.4,0.756,1.168
germ_label,12,24.7,1.8,66.9,91.0,,,,203.7,198.4,1.027,1.435
germ_label,13,58.3,2.4,70.2,147.3,,,,163.3,217.5,0.751,1.15
germ_label,14,19.8,1.8,70.1,78.4,,,,203.7,187.5,1.087,1.435
germ_label,15,49.5,1.9,73.0,110.7,,,,152.0,187.9,0.809,1.071
