nucleus_id,volume_um3,n_voxels,centroid_z_um,centroid_y_um,centroid_x_um,axis_position_norm,axis_position_um,zone_call,zone_call_method,pachytene_subzone,zone_confidence,chromatin_polarized,dna_mean_intensity,sc_total_length_um,sc_n_fragments,n_foci,dna_max_intensity,dna_integrated_intensity,central_element_mean_intensity,central_element_max_intensity,central_element_integrated_intensity,foci_mean_intensity,foci_max_intensity,foci_integrated_intensity,chromatin_polarization,axis_row,image_id,file_path,genotype,sex,germ_cell,treatment,replicate,acquisition_date,voxel_dz_um,voxel_dy_um,voxel_dx_um,n_channels,dapi_present,channel_map_json,pipeline_version,git_sha,config_hash,run_timestamp
123,13.376819444444363,5699,4.623793648008422,157.87517985611464,139.59513218693297,0.6289985446231872,252.60774277478757,pachytene,dapi_crescent,early,0.28334105464725406,False,273.51114230566765,0.0,0,2,600.0,1558740.0,371.5002632040709,1396.0,2117180.0,191.84137567994384,1056.0,1093304.0,0.03407055338023237,50,20251105_N2_nohs_HERM _001,data\raw_examples\madeleline images\20251105_N2_noHS\20251105_N2_nohs_HERM _001.nd2,N2,herm,oocyte,control,001,20251105,0.2,0.108333333333333,0.108333333333333,3,True,"{""dna"": 0, ""central_element"": 1, ""foci"": 2}",0.1.0,4039ddd274b972fb2f56575465ea69744c75d99f-dirty,9b1466a2247e,2026-06-12T14:06:08.993793+00:00
124,12.571722222222146,5356,4.2704630321135175,159.38885517799304,134.23250404530702,0.6353163708798799,255.14500115732088,pachytene,dapi_crescent,early,0.28334105464725406,False,245.98282300224048,0.7107184426674635,1,0,522.0,1317484.0,397.7669902912621,1417.0,2130440.0,163.76530993278567,763.0,877127.0,0.06422219690609604,51,20251105_N2_nohs_HERM _001,data\raw_examples\madeleline images\20251105_N2_noHS\20251105_N2_nohs_HERM _001.nd2,N2,herm,oocyte,control,001,20251105,0.2,0.108333333333333,0.108333333333333,3,True,"{""dna"": 0, ""central_element"": 1, ""foci"": 2}",0.1.0,4039ddd274b972fb2f56575465ea69744c75d99f-dirty,9b1466a2247e,2026-06-12T14:06:08.993793+00:00
125,6.529972222222183,2782,4.368080517613229,164.85035046728922,137.41876947040456,0.6195407411394445,248.80945991696788,transition_zone,dapi_crescent,NA,0.28334105464725406,False,214.35981308411215,1.2392025868978038,1,0,444.0,596349.0,353.29079798705965,1085.0,982855.0,155.18727534148096,259.0,431731.0,0.06318900924190989,49,20251105_N2_nohs_HERM _001,data\raw_examples\madeleline images\20251105_N2_noHS\20251105_N2_nohs_HERM _001.nd2,N2,herm,oocyte,control,001,20251105,0.2,0.108333333333333,0.108333333333333,3,True,"{""dna"": 0, ""central_element"": 1, ""foci"": 2}",0.1.0,4039ddd274b972fb2f56575465ea69744c75d99f-dirty,9b1466a2247e,2026-06-12T14:06:08.993793+00:00
126,9.374805555555499,3994,4.47341011517276,166.8581518110494,130.3526122517105,0.6226905066188648,250.07441538439744,pachytene,dapi_crescent,early,0.28334105464725406,False,241.86880320480722,0.0,0,0,430.0,966024.0,345.2546319479219,1273.0,1378947.0,144.8442663995994,244.0,578508.0,0.038881654299551385,50,20251105_N2_nohs_HERM _001,data\raw_examples\madeleline images\20251105_N2_noHS\20251105_N2_nohs_HERM _001.nd2,N2,herm,oocyte,control,001,20251105,0.2,0.108333333333333,0.108333333333333,3,True,"{""dna"": 0, ""central_element"": 1, ""foci"": 2}",0.1.0,4039ddd274b972fb2f56575465ea69744c75d99f-dirty,9b1466a2247e,2026-06-12T14:06:08.993793+00:00
127,12.463749999999925,5310,4.514011299435029,168.57197112366552,142.29654739485204,0.6038437253948908,242.50549029823466,transition_zone,dapi_crescent,NA,0.28334105464725406,False,223.61939736346517,0.5126388374866269,1,0,513.0,1187419.0,375.48870056497174,1440.0,1993845.0,153.2020715630885,702.0,813503.0,0.05589443535590857,48,20251105_N2_nohs_HERM _001,data\raw_examples\madeleline images\20251105_N2_noHS\20251105_N2_nohs_HERM _001.nd2,N2,herm,oocyte,control,001,20251105,0.2,0.108333333333333,0.108333333333333,3,True,"{""dna"": 0, ""central_element"": 1, ""foci"": 2}",0.1.0,4039ddd274b972fb2f56575465ea69744c75d99f-dirty,9b1466a2247e,2026-06-12T14:06:08.993793+00:00
128,9.154166666666612,3900,4.435794871794871,170.72688888888837,149.63424999999955,0.588254157822141,236.24467219451947,transition_zone,dapi_crescent,NA,0.28334105464725406,False,234.10128205128206,0.0,0,0,435.0,912995.0,387.9866666666667,1221.0,1513148.0,169.31589743589743,785.0,660332.0,0.07441323434303176,47,20251105_N2_nohs_HERM _001,data\raw_examples\madeleline images\20251105_N2_noHS\20251105_N2_nohs_HERM _001.nd2,N2,herm,oocyte,control,001,20251105,0.2,0.108333333333333,0.108333333333333,3,True,"{""dna"": 0, ""central_element"": 1, ""foci"": 2}",0.1.0,4039ddd274b972fb2f56575465ea69744c75d99f-dirty,9b1466a2247e,2026-06-12T14:06:08.993793+00:00
129,21.61322222222209,9208,4.539530842745439,172.25418838690942,135.23974261511688,0.6069754503752475,243.76320064596405,transition_zone,dapi_crescent,NA,0.28334105464725406,False,301.99913119026934,1.7650239468207551,3,1,687.0,2780808.0,308.38032145960034,1018.0,2839566.0,188.19178974804518,1037.0,1732870.0,0.05776301825914505,48,20251105_N2_nohs_HERM _001,data\raw_examples\madeleline images\20251105_N2_noHS\20251105_N2_nohs_HERM _001.nd2,N2,herm,oocyte,control,001,20251105,0.2,0.108333333333333,0.108333333333333,3,True,"{""dna"": 0, ""central_element"": 1, ""foci"": 2}",0.1.0,4039ddd274b972fb2f56575465ea69744c75d99f-dirty,9b1466a2247e,2026-06-12T14:06:08.993793+00:00
130,14.069249999999915,5994,5.275041708375042,175.01060226893506,279.611026304081,0.08306239917067344,33.358114010473535,transition_zone,dapi_crescent,NA,0.28334105464725406,False,222.8772105438772,0.6314129385141687,1,0,410.0,1335926.0,145.15732399065732,287.0,870073.0,139.17667667667666,262.0,834225.0,0.034516909526563895,6,20251105_N2_nohs_HERM _001,data\raw_examples\madeleline images\20251105_N2_noHS\20251105_N2_nohs_HERM _001.nd2,N2,herm,oocyte,control,001,20251105,0.2,0.108333333333333,0.108333333333333,3,True,"{""dna"": 0, ""central_element"": 1, ""foci"": 2}",0.1.0,4039ddd274b972fb2f56575465ea69744c75d99f-dirty,9b1466a2247e,2026-06-12T14:06:08.993793+00:00
131,8.029847222222173,3421,5.108272434960538,174.09616340251335,141.90270145181677,0.594475260478153,238.7430860826579,transition_zone,dapi_crescent,NA,0.28334105464725406,False,224.12364805612395,0.0,0,0,537.0,766727.0,381.62730195849167,1194.0,1305547.0,154.09061677871966,244.0,527144.0,0.07221210956544696,47,20251105_N2_nohs_HERM _001,data\raw_examples\madeleline images\20251105_N2_noHS\20251105_N2_nohs_HERM _001.nd2,N2,herm,oocyte,control,001,20251105,0.2,0.108333333333333,0.108333333333333,3,True,"{""dna"": 0, ""central_element"": 1, ""foci"": 2}",0.1.0,4039ddd274b972fb2f56575465ea69744c75d99f-dirty,9b1466a2247e,2026-06-12T14:06:08.993793+00:00
132,4.476152777777751,1907,4.24048243314106,181.19275476315272,155.5485448348186,0.5575107967460016,223.89804418855766,transition_zone,dapi_crescent,NA,0.28334105464725406,True,177.20346093340325,0.0,0,0,376.0,337927.0,336.00314630309384,1243.0,640758.0,151.3880440482433,269.0,288697.0,0.1169224061705568,44,20251105_N2_nohs_HERM _001,data\raw_examples\madeleline images\20251105_N2_noHS\20251105_N2_nohs_HERM _001.nd2,N2,herm,oocyte,control,001,20251105,0.2,0.108333333333333,0.108333333333333,3,True,"{""dna"": 0, ""central_element"": 1, ""foci"": 2}",0.1.0,4039ddd274b972fb2f56575465ea69744c75d99f-dirty,9b1466a2247e,2026-06-12T14:06:08.993793+00:00
133,10.107138888888828,4306,4.600928936367859,187.0870374670996,148.3325359962838,0.5575107967460016,223.89804418855766,transition_zone,dapi_crescent,NA,0.28334105464725406,False,221.7099396191361,0.0,0,0,409.0,954683.0,393.5078959591268,1074.0,1694445.0,157.90617742684626,285.0,679944.0,0.039395338685582426,44,20251105_N2_nohs_HERM _001,data\raw_examples\madeleline images\20251105_N2_noHS\20251105_N2_nohs_HERM _001.nd2,N2,herm,oocyte,control,001,20251105,0.2,0.108333333333333,0.108333333333333,3,True,"{""dna"": 0, ""central_element"": 1, ""foci"": 2}",0.1.0,4039ddd274b972fb2f56575465ea69744c75d99f-dirty,9b1466a2247e,2026-06-12T14:06:08.993793+00:00
134,14.315708333333246,6099,4.435022134776193,194.11176968901947,162.8212876427825,0.5216480355361622,209.49544940303903,transition_zone,dapi_crescent,NA,0.28334105464725406,False,215.45220527955402,0.8190517760007965,1,0,583.0,1314043.0,419.9827840629611,1769.0,2561475.0,160.24610591900313,727.0,977341.0,0.06105189102283236,41,20251105_N2_nohs_HERM _001,data\raw_examples\madeleline images\20251105_N2_noHS\20251105_N2_nohs_HERM _001.nd2,N2,herm,oocyte,control,001,20251105,0.2,0.108333333333333,0.108333333333333,3,True,"{""dna"": 0, ""central_element"": 1, ""foci"": 2}",0.1.0,4039ddd274b972fb2f56575465ea69744c75d99f-dirty,9b1466a2247e,2026-06-12T14:06:08.993793+00:00
135,7.677763888888842,3271,4.474411494955671,194.0460638948328,146.63044176092893,0.5454156050035077,219.04057812505513,transition_zone,dapi_crescent,NA,0.28334105464725406,True,217.51238153469887,0.6948731359237499,1,0,460.0,711483.0,404.77010088657903,1456.0,1324003.0,155.7752980739835,274.0,509541.0,0.10088337785375305,43,20251105_N2_nohs_HERM _001,data\raw_examples\madeleline images\20251105_N2_noHS\20251105_N2_nohs_HERM _001.nd2,N2,herm,oocyte,control,001,20251105,0.2,0.108333333333333,0.108333333333333,3,True,"{""dna"": 0, ""central_element"": 1, ""foci"": 2}",0.1.0,4039ddd274b972fb2f56575465ea69744c75d99f-dirty,9b1466a2247e,2026-06-12T14:06:08.993793+00:00
136,6.555791666666627,2793,4.905263157894737,200.06459303019392,164.2674274973142,0.5071181726121597,203.66021193320017,transition_zone,dapi_crescent,NA,0.28334105464725406,False,224.82563551736484,0.0,0,0,470.0,627938.0,485.1926244181883,1453.0,1355143.0,171.4450411743645,322.0,478846.0,0.03381349704013424,40,20251105_N2_nohs_HERM _001,data\raw_examples\madeleline images\20251105_N2_noHS\20251105_N2_nohs_HERM _001.nd2,N2,herm,oocyte,control,001,20251105,0.2,0.108333333333333,0.108333333333333,3,True,"{""dna"": 0, ""central_element"": 1, ""foci"": 2}",0.1.0,4039ddd274b972fb2f56575465ea69744c75d99f-dirty,9b1466a2247e,2026-06-12T14:06:08.993793+00:00
137,30.396527777777592,12950,5.009544401544402,207.00846138996076,159.06663642213593,0.5013833216973574,201.35707823420887,transition_zone,dapi_crescent,NA,0.28334105464725406,False,205.97420849420848,0.7741786400770446,1,1,408.0,2667366.0,442.62918918918916,1434.0,5732048.0,174.98903474903474,1281.0,2266108.0,0.023183705651295163,40,20251105_N2_nohs_HERM _001,data\raw_examples\madeleline images\20251105_N2_noHS\20251105_N2_nohs_HERM _001.nd2,N2,herm,oocyte,control,001,20251105,0.2,0.108333333333333,0.108333333333333,3,True,"{""dna"": 0, ""central_element"": 1, ""foci"": 2}",0.1.0,4039ddd274b972fb2f56575465ea69744c75d99f-dirty,9b1466a2247e,2026-06-12T14:06:08.993793+00:00
138,15.801499999999905,6732,4.3951574569221625,213.33437066745827,171.56664067141958,0.4680020123860292,187.95104213431108,transition_zone,dapi_crescent,NA,0.28334105464725406,False,202.0133689839572,0.0,0,0,433.0,1359954.0,457.59818775995245,1657.0,3080551.0,161.86215092097444,354.0,1089656.0,0.059917011450308574,37,20251105_N2_nohs_HERM _001,data\raw_examples\madeleline images\20251105_N2_noHS\20251105_N2_nohs_HERM _001.nd2,N2,herm,oocyte,control,001,20251105,0.2,0.108333333333333,0.108333333333333,3,True,"{""dna"": 0, ""central_element"": 1, ""foci"": 2}",0.1.0,4039ddd274b972fb2f56575465ea69744c75d99f-dirty,9b1466a2247e,2026-06-12T14:06:08.993793+00:00
139,18.031361111111003,7682,4.64399895860453,221.47383493881733,171.9670669530499,0.45466195497122,182.59363420253317,transition_zone,dapi_crescent,NA,0.28334105464725406,False,195.40562353553761,0.0,0,0,527.0,1501106.0,456.1131215829211,1557.0,3503861.0,163.21296537360064,486.0,1253802.0,0.07541911413508999,36,20251105_N2_nohs_HERM _001,data\raw_examples\madeleline images\20251105_N2_noHS\20251105_N2_nohs_HERM _001.nd2,N2,herm,oocyte,control,001,20251105,0.2,0.108333333333333,0.108333333333333,3,True,"{""dna"": 0, ""central_element"": 1, ""foci"": 2}",0.1.0,4039ddd274b972fb2f56575465ea69744c75d99f-dirty,9b1466a2247e,2026-06-12T14:06:08.993793+00:00
140,4.94324999999997,2106,5.613200379867047,227.33235596707752,221.48400205761249,0.3156526276904828,126.76706244144128,transition_zone,dapi_crescent,NA,0.28334105464725406,False,254.62440645773978,0.0,0,0,546.0,536239.0,166.42877492877494,264.0,350499.0,119.37606837606837,167.0,251406.0,0.04457782997568382,25,20251105_N2_nohs_HERM _001,data\raw_examples\madeleline images\20251105_N2_noHS\20251105_N2_nohs_HERM _001.nd2,N2,herm,oocyte,control,001,20251105,0.2,0.108333333333333,0.108333333333333,3,True,"{""dna"": 0, ""central_element"": 1, ""foci"": 2}",0.1.0,4039ddd274b972fb2f56575465ea69744c75d99f-dirty,9b1466a2247e,2026-06-12T14:06:08.993793+00:00
141,6.18727777777774,2636,4.331487101669196,229.26543057663056,188.75936709661045,0.40978663341703403,164.57156756820316,transition_zone,dapi_crescent,NA,0.28334105464725406,False,182.3732928679818,0.5575119734103786,1,0,366.0,480736.0,174.24468892261,243.0,459309.0,136.24355083459787,201.0,359138.0,0.008112289433807367,32,20251105_N2_nohs_HERM _001,data\raw_examples\madeleline images\20251105_N2_noHS\20251105_N2_nohs_HERM _001.nd2,N2,herm,oocyte,control,001,20251105,0.2,0.108333333333333,0.108333333333333,3,True,"{""dna"": 0, ""central_element"": 1, ""foci"": 2}",0.1.0,4039ddd274b972fb2f56575465ea69744c75d99f-dirty,9b1466a2247e,2026-06-12T14:06:08.993793+00:00
142,11.376986111111043,4847,4.27823395914999,231.66990578364556,188.77021869197384,0.40744755231156454,163.63218542929252,transition_zone,dapi_crescent,NA,0.28334105464725406,False,163.8335052609862,0.0,0,0,310.0,794101.0,174.10356921807303,272.0,843880.0,136.1178048277285,246.0,659763.0,0.08575989953180735,32,20251105_N2_nohs_HERM _001,data\raw_examples\madeleline images\20251105_N2_noHS\20251105_N2_nohs_HERM _001.nd2,N2,herm,oocyte,control,001,20251105,0.2,0.108333333333333,0.108333333333333,3,True,"{""dna"": 0, ""central_element"": 1, ""foci"": 2}",0.1.0,4039ddd274b972fb2f56575465ea69744c75d99f-dirty,9b1466a2247e,2026-06-12T14:06:08.993793+00:00
143,34.27413888888868,14602,5.203862484591152,239.72221385198304,176.8477640049303,0.41690420096036634,167.4300045018615,transition_zone,dapi_crescent,NA,0.28334105464725406,False,221.0732091494316,0.7293055041532928,1,0,444.0,3228111.0,412.19880838241335,1873.0,6018927.0,146.90172579098754,276.0,2145059.0,0.00830300664065191,33,20251105_N2_nohs_HERM _001,data\raw_examples\madeleline images\20251105_N2_noHS\20251105_N2_nohs_HERM _001.nd2,N2,herm,oocyte,control,001,20251105,0.2,0.108333333333333,0.108333333333333,3,True,"{""dna"": 0, ""central_element"": 1, ""foci"": 2}",0.1.0,4039ddd274b972fb2f56575465ea69744c75d99f-dirty,9b1466a2247e,2026-06-12T14:06:08.993793+00:00
144,18.575916666666554,7914,5.558680818802124,15.048217294246438,49.869307556229316,1.0,401.6030640040936,pachytene,dapi_crescent,late,0.28334105464725406,False,282.6823351023503,0.6948731359237499,1,0,501.0,2237148.0,154.07113975233764,264.0,1219319.0,138.2621935809957,297.0,1094207.0,0.027670294145320903,80,20251105_N2_nohs_HERM _001,data\raw_examples\madeleline images\20251105_N2_noHS\20251105_N2_nohs_HERM _001.nd2,N2,herm,oocyte,control,001,20251105,0.2,0.108333333333333,0.108333333333333,3,True,"{""dna"": 0, ""central_element"": 1, ""foci"": 2}",0.1.0,4039ddd274b972fb2f56575465ea69744c75d99f-dirty,9b1466a2247e,2026-06-12T14:06:08.993793+00:00
