GonadID,Genotype,Sex,treatment,ntX,RAD51
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.1409326718508532,9
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.202404110960454,10
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.13894184146302,16
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.04048049403821526,11
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.08087403437025255,8
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.05460008323161107,12
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.02967310218238553,15
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.002060484862668918,11
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.01067598472193619,8
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.01432154626007774,15
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.2259207767355252,13
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.2838973283899924,21
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.2625680245324402,16
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.2218873096848199,26
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.4249786525904507,13
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.3117535491807941,21
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.3588564451107229,17
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.3821118574502149,14
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.2445967832118784,14
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.3035532771297557,14
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.2823214774282931,15
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.2661930953340605,16
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.3598746634074734,18
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.3248343715335912,17
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.3840140968798152,15
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.2278253942978023,22
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.4030404623047204,28
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.2985671103753876,20
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.3450186395743851,15
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.3111363748260146,14
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.2676443666164637,20
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.3069561516365789,12
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.2320580123294427,14
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.2715233922086515,14
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.4268173013363388,17
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.2319032231225728,16
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.3612826906655881,19
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.3849568995615908,17
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.3347459236270904,17
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.2956642186299689,26
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.3979058615544112,16
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.2246659453575635,16
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.2624997572249037,17
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.3568963790320101,18
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.4339304283268423,18
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.3174009669905127,15
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.3206917916933461,22
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.4417096650303963,16
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.2489410323750614,10
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.2898060527740798,19
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.222695587065211,8
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.3894120856541676,16
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.3382600201367902,19
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.34836628471329,16
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.4219909600734907,26
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.2610804644819511,10
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.2471299974042006,13
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.4270330787537955,22
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.3103661140482973,13
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.3635697399829414,18
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.2492466516137215,16
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.3804712023144065,20
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.2973122403954395,25
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.344676137044795,17
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.2551154338269532,17
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.4452606032130427,28
20260521_ccw66_hs_1_dapi_rad51_syp1002_H,msh5_alone,herm,hs,0.4452606032130427,12
