genotype,treatment,n_herm,n_male,herm_mean,male_mean,diff_male_minus_herm,p_wilcox
n2,noHS,3,2,0.06564447392945762,0.07172126401786022,0.006076790088402603,0.7999999999999998
n2,HS,2,4,-0.0055618882097258,0.12845213929803465,0.13401402750776045,0.5333333333333333
ccw77,noHS,4,5,0.3376879898808826,0.35635917667894673,0.01867118679806412,0.7301587301587302
ccw77,HS,4,9,0.42218496257500143,0.504514420829976,0.08232945825497456,0.1986013986013986
