geno,Sex,treat,zone,value,readout
syp5,herm,HS,mid,2.9423076923076925,RAD-51
syp5,herm,HS,4,3.6052631578947367,RAD-51
syp5,herm,HS,prox,0.5833333333333334,RAD-51
syp5,herm,noHS,dist,1.2884615384615385,RAD-51
syp5,herm,noHS,2,2.672727272727273,RAD-51
syp5,herm,noHS,mid,2.7115384615384617,RAD-51
syp5,herm,noHS,4,2.9298245614035086,RAD-51
syp5,herm,noHS,prox,1.36,RAD-51
syp5,male,HS,dist,12.225806451612904,RAD-51
syp5,male,HS,2,14.166666666666666,RAD-51
syp5,male,HS,mid,11.710526315789474,RAD-51
syp5,male,HS,4,9.727272727272727,RAD-51
syp5,male,HS,prox,13.088888888888889,RAD-51
syp5,male,noHS,dist,8.228571428571428,RAD-51
syp5,male,noHS,2,7.724137931034483,RAD-51
syp5,male,noHS,mid,5.958333333333333,RAD-51
syp5,male,noHS,4,4.815384615384615,RAD-51
syp5,male,noHS,prox,2.0172413793103448,RAD-51
ccw77,herm,HS,dist,0.08139534883720931,p-granules
ccw77,herm,HS,2,0.13095238095238096,p-granules
ccw77,herm,HS,mid,1.8522727272727273,p-granules
ccw77,herm,HS,4,1.2439024390243902,p-granules
ccw77,herm,HS,prox,0.049586776859504134,p-granules
ccw77,herm,noHS,dist,0.16393442622950818,p-granules
ccw77,herm,noHS,2,0.24390243902439024,p-granules
ccw77,herm,noHS,mid,0.6674876847290641,p-granules
ccw77,herm,noHS,4,0.7905759162303665,p-granules
ccw77,herm,noHS,prox,0.18584070796460178,p-granules
ccw77,male,HS,dist,0.09060955518945635,p-granules
ccw77,male,HS,2,0.9,p-granules
ccw77,male,HS,mid,0.7222222222222222,p-granules
ccw77,male,HS,4,0.8628428927680798,p-granules
ccw77,male,HS,prox,0.5581395348837209,p-granules
ccw77,male,noHS,dist,0.17374005305039789,p-granules
ccw77,male,noHS,2,0.5966029723991507,p-granules
ccw77,male,noHS,mid,1.2580645161290323,p-granules
ccw77,male,noHS,4,0.7715654952076677,p-granules
ccw77,male,noHS,prox,0.8180039138943248,p-granules
