iid,sex,treat,exp_545,offset_est,PC_dm_orig,zsh_orig,PCspec_orig,PC_dm_90,zsh_90,PCspec_90
20260708_ccw77_IF_pgl1_syp3_lmn1_HS_herm_011,herm,HS,200.0,104.0,1.7895,1.3588,1.317,1.753,1.3411,1.3071
20260708_ccw77_IF_pgl1_syp3_lmn1_HS_male_008,male,HS,200.0,104.0,2.0222,1.4042,1.4401,1.9885,1.3909,1.4296
20260708_ccw77_IF_pgl1_syp3_lmn1_HS_male_010,male,HS,200.0,103.0,1.5453,1.2128,1.2742,1.516,1.201,1.2623
20260708_ccw77_IF_pgl1_syp3_lmn1_HS_male_013,male,HS,200.0,104.0,1.8519,1.2988,1.4259,1.8252,1.289,1.416
20260708_ccw77_IF_pgl1_syp3_lmn1_noHS_male_001,male,noHS,200.0,106.0,1.407,1.1675,1.2051,1.3942,1.1615,1.2003
20260622_ccw77_IF_syp1_pgl1_LMN1_HS_herm_08,herm,HS,300.0,122.0,1.4453,1.168,1.2374,1.4248,1.1596,1.2287
20260622_ccw77_IF_syp1_pgl1_LMN1_HS_male_10,male,HS,300.0,117.0,1.5176,1.2804,1.1853,1.4972,1.2681,1.1807
20260622_ccw77_IF_syp1_pgl1_LMN1_noHS_herm_03,herm,noHS,200.0,107.0,1.1438,1.0454,1.0941,1.1402,1.0437,1.0925
